E, cm-1	Sigma_00, cm2	
9.3097938879e+04	3.6698584639e-14
9.3098190024e+04	3.6399764780e-14
9.3098444077e+04	3.6101216021e-14
9.3098701073e+04	3.5802605082e-14
9.3098961044e+04	3.5503493062e-14
9.3099224025e+04	3.5203350969e-14
9.3099490052e+04	3.7006153924e-14
9.3099759159e+04	3.6716006777e-14
9.3100031382e+04	3.6426539210e-14
9.3100306758e+04	3.6137699596e-14
9.3100585322e+04	3.5849304606e-14
9.3100867112e+04	3.5561046445e-14
9.3101152164e+04	3.5272504497e-14
9.3101440518e+04	3.4983161340e-14
9.3101732210e+04	3.4692422795e-14
9.3102027280e+04	3.4399641655e-14
9.3102325767e+04	3.4104145020e-14
9.3102627710e+04	3.3805265501e-14
9.3102933150e+04	3.3502376440e-14
9.3103242126e+04	3.5203921073e-14
9.3103554680e+04	3.4928783036e-14
9.3103870854e+04	3.4653041066e-14
9.3104190688e+04	3.4376021703e-14
9.3104514226e+04	3.4097004225e-14
9.3104841510e+04	3.3815253489e-14
9.3105172584e+04	3.3530057184e-14
9.3105507492e+04	3.5053874797e-14
9.3105846278e+04	3.4794817949e-14
9.3106188987e+04	3.4535461641e-14
9.3106535664e+04	3.4275040166e-14
9.3106886355e+04	3.4012731539e-14
9.3107241107e+04	3.3747694067e-14
9.3107599968e+04	3.5104971763e-14
9.3107962983e+04	3.4861126393e-14
9.3108330202e+04	3.4617313690e-14
9.3108701673e+04	3.4372725239e-14
9.3109077446e+04	3.4126470754e-14
9.3109457570e+04	3.3877614880e-14
9.3109842095e+04	3.5098580981e-14
9.3110231074e+04	3.4866489311e-14
9.3110624556e+04	3.4634178787e-14
9.3111022594e+04	3.4400828470e-14
9.3111425242e+04	3.4165528491e-14
9.3111832552e+04	3.3927317245e-14
9.3112244579e+04	3.3685225346e-14
9.3112661376e+04	3.3438325873e-14
9.3113083000e+04	3.3185789398e-14
9.3113509506e+04	3.2926940859e-14
9.3113940951e+04	3.2661313671e-14
9.3114377392e+04	3.3892638822e-14
9.3114818886e+04	3.3655881417e-14
9.3115265493e+04	3.3414138859e-14
9.3115717271e+04	3.3166646394e-14
9.3116174280e+04	3.2912799082e-14
9.3116636582e+04	3.2652207613e-14
9.3117104236e+04	3.3775255405e-14
9.3117577306e+04	3.3542179511e-14
9.3118055854e+04	3.3304383608e-14
9.3118539943e+04	3.3061189888e-14
9.3119029637e+04	3.2812083840e-14
9.3119525002e+04	3.3818362081e-14
9.3120026103e+04	3.3594290147e-14
9.3120533006e+04	3.3366715199e-14
9.3121045779e+04	3.3134882002e-14
9.3121564490e+04	3.2898143202e-14
9.3122089207e+04	3.3810981896e-14
9.3122620000e+04	3.3597355504e-14
9.3123156939e+04	3.3381200733e-14
9.3123700096e+04	3.3161634443e-14
9.3124249542e+04	3.2937835940e-14
9.3124805351e+04	3.2709115556e-14
9.3125367595e+04	3.2474982105e-14
9.3125936350e+04	3.2235199783e-14
9.3126511691e+04	3.1989824548e-14
9.3127093694e+04	3.1739212273e-14
9.3127682436e+04	3.2729285051e-14
9.3128277996e+04	3.2505845677e-14
9.3128880452e+04	3.2276177246e-14
9.3129489883e+04	3.2040181964e-14
9.3130106372e+04	3.1798098677e-14
9.3130730000e+04	3.2713388836e-14
9.3131360848e+04	3.2495668975e-14
9.3131999002e+04	3.2270996697e-14
9.3132644545e+04	3.2039302291e-14
9.3133297563e+04	3.2859896744e-14
9.3133958143e+04	3.2650588567e-14
9.3134626371e+04	3.2434353699e-14
9.3135302338e+04	3.2210925420e-14
