E	J	a
120	110	172.63502699972926
120	115	189.55156986699274
120	120	207.20912742972104
120	125	225.61035306408837
120	130	244.7493026062947
120	135	264.63295780002886
120	140	285.2587080279039
120	145	306.64352012206575
120	150	328.7593035670388
120	155	351.6111912636242
120	160	375.2413109065221
120	165	399.5285321963985
120	170	424.59648767755687
120	175	450.4462015694945
120	180	477.35798999642213
120	185	504.33640629097397
120	190	532.7505769402164
120	195	561.5921400191855
130	0	0.035381864646159694
130	5	2.032177707427927e-05
130	10	0.0834364941656597
130	15	0.09313254916426109
130	20	0.029110956921176944
130	25	0.08117102257894059
130	30	0.0027469519426884725
130	35	0.14103974469437278
130	40	0.014593652918115306
130	45	0.22746140075558363
130	50	0.13533662272209082
130	55	0.06087686002759424
130	60	0.32556217693028067
130	65	3.0573861778184637
130	70	20.25345120956852
130	75	44.29311616253733
130	80	71.60223958836413
130	85	101.30913375352739
130	90	133.1204845909964
130	95	166.91226823814617
130	100	202.6232283344697
130	105	240.21974823192755
130	110	279.681577262058
130	115	320.99583005818903
130	120	364.1536574123244
130	125	409.14929386664164
130	130	455.9819456205418
130	135	504.6394388792221
130	140	555.1358572377576
130	145	607.4481190215222
130	150	661.5783574517027
130	155	717.5630769414349
130	160	775.3947752522976
130	165	834.9785341625143
130	170	896.3793333417502
130	175	959.6903240583191
130	180	1024.804851965937
130	185	1091.6302536303053
130	190	1161.254696485627
130	195	1231.0105800576316
140	0	0.12810503866165118
140	5	0.06390994031479834
140	10	0.07216247683838253
140	15	0.0059062370044414385
140	20	0.037053610175491164
140	25	0.1569716911954142
140	30	0.014385693209160225
140	35	0.08238433834001617
140	40	0.20127539413961046
140	45	0.04208140581021374
140	50	0.13459874847427714
140	55	0.17104987998293794
140	60	0.24932299753723036
140	65	0.0016277886859789954
140	70	0.24246892847027987
140	75	0.5306638384360367
140	80	0.5695832024995415
140	85	0.003793408077118185
140	90	11.520877582484877
140	95	50.13305056186621
140	100	100.05494716540471
140	105	155.64882978824116
140	110	215.30211429431262
140	115	278.42056633815275
140	120	344.73860360495644
140	125	414.1199914719336
140	130	486.4879483951868
140	135	561.7956872809931
140	140	640.0147579025835
140	145	721.1190729659904
140	150	805.1050214978894
140	155	891.9561413957456
140	160	981.6488074189855
140	165	1074.204293411339
140	170	1169.60951062631
140	175	1267.9037280395953
140	180	1368.9807466531847
140	185	1472.9779450470483
140	190	1579.751824173358
140	195	1689.6061803706425
150	0	0.1260452244765739
150	5	0.0681193682132317
150	10	0.045993576695331655
150	15	0.008243515657441965
150	20	0.009410802577275158
150	25	0.03896362606270051
150	30	0.13502050739609572
150	35	0.09406626158919232
150	40	0.00044037399630256116
150	45	0.11512361931574985
150	50	0.21595403677904793
150	55	0.04120654801779192
150	60	0.13774045607734714
150	65	0.19772204699615253
150	70	0.17397593088435778
150	75	0.07242762931190949
150	80	0.48253364570174284
150	85	0.594595484824399
150	90	0.6233510719270707
150	95	1.0261278369814024
150	100	1.9702061817738965
150	105	0.8495765652104753
150	110	21.400826329574688
150	115	70.64061070545573
150	120	131.10191953313608
150	125	197.4863255763653
150	130	268.12563906500736
150	135	342.36277320609776
150	140	419.89096618639604
150	145	500.5492015372848
150	150	584.2407740407529
150	155	670.9108838591886
150	160	760.5214259698937
150	165	853.05280937563
150	170	948.4871548408304
150	175	1046.8063501980985
150	180	1147.972452362865
150	185	1252.038249712312
150	190	1358.9198434832113
150	195	1468.704350795158
160	0	0.1771391239706071
160	5	0.29459566322519165
160	10	0.07078337433994933
160	15	0.32232875694322366
160	20	0.319497736170218
160	25	0.31457294935540897
160	30	0.0005278067174250203
160	35	0.37588238283158076
160	40	0.19479607364406293
160	45	3.877408281717637e-06
160	50	0.19992585693604037
160	55	0.5046733374653832
160	60	0.27245468325260846
160	65	0.044457656716095195
160	70	0.6769385418983044
160	75	0.02040120483357392
160	80	0.8642776604913948
160	85	0.0870962575212696
160	90	0.44479724479162497
160	95	1.35232088494692
160	100	1.708815265380697
160	105	2.1103061155254705
160	110	3.21484081638291
160	115	3.7484797735138797
160	120	0.10018762648655853
160	125	33.860804528839914
160	130	149.39786251963793
160	135	301.2772688702983
160	140	470.39702003131646
160	145	650.8218307785368
160	150	840.2860260402504
160	155	1037.7587620112167
160	160	1242.7065009598127
160	165	1454.8266083094104
160	170	1673.94289592168
160	175	1899.9008436258807
160	180	2132.6635945986795
160	185	2372.1751774506833
160	190	2618.407878992414
160	195	2871.388451692742
170	0	0.17773990150431448
170	5	0.18168171951602094
170	10	0.003409142842810362
170	15	0.1830671166179143
170	20	0.19841614944048327
170	25	0.20456334898922002
170	30	0.0336801648041914
170	35	0.19676935783944158
170	40	0.001488790528071394
170	45	0.11559415193664814
170	50	0.26705208920938506
170	55	0.23280546700182023
170	60	0.047498813745058634
170	65	0.057228063513617464
170	70	0.3599563390228676
170	75	0.13296272288275485
170	80	0.1932645298757983
170	85	0.30594388840766307
170	90	0.3055530390892018
170	95	0.0839527360227837
170	100	0.6971867435139689
170	105	0.6914042156673355
170	110	0.34790397688084335
170	115	0.20132541621463798
170	120	0.38096863970658995
170	125	1.5286702332596098
170	130	3.8194922651112844
170	135	0.8598433520283371
170	140	30.472265867749883
170	145	112.52111037437142
170	150	216.65338505398512
170	155	331.61653699102595
170	160	453.7362223968205
170	165	581.5551933914074
170	170	714.392674440188
170	175	851.8905554794197
170	180	993.8420657699116
170	185	1140.124725802773
170	190	1290.6429928112702
170	195	1445.3966544230111
180	0	0.018322091643327963
180	5	0.0038845501518221023
180	10	0.1978414766741803
180	15	0.0002011333194183502
180	20	0.05550524204855489
180	25	0.03022574742777215
180	30	0.044739751825320674
180	35	0.23592507216468728
180	40	0.0866627892078287
180	45	0.021731767219495136
180	50	0.2007190983697412
180	55	0.316037996078935
180	60	0.23563464493238961
180	65	0.037407074176860816
180	70	0.07367386599680224
180	75	0.4009672000135266
180	80	0.1850788860779901
180	85	0.13303226467273344
180	90	0.4583350317425218
180	95	0.10542319656686436
180	100	0.412755162560432
180	105	0.6094272769542715
180	110	0.025335102655386667
180	115	0.2590610627721155
180	120	0.8489790181941521
180	125	1.30352649895249
180	130	1.6047185611708057
180	135	1.4349936672731105
180	140	0.2121562867552261
180	145	3.061573105888877
180	150	8.136526349374499
180	155	70.58580317021554
180	160	182.84992183932226
180	165	314.74387078352834
180	170	457.4115915892113
180	175	607.6855294693324
180	180	764.2069859678777
180	185	926.3069087046207
180	190	1093.6182029415093
180	195	1265.917453599954
190	0	0.1626861530524544
190	5	0.08498142162317131
190	10	0.030570897606049918
190	15	0.13611504056849047
190	20	0.21123759976165457
