R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
3.55	-529.5583834	-529.5112105	-529.5055889	-529.4991552	-529.5587948	-529.504296	-529.4960105	-529.5587948	-529.504296	-529.4960105	-529.5056709	-529.501578	-529.9867481	-529.5527955	-529.504234	-529.500276	-529.4906865	-529.5526652	-529.5032283	-529.4955978	-529.5526652	-529.5032283	-529.4955978	-529.5039815	-529.5018416
3.5	-529.5582461	-529.5112114	-529.5056198	-529.4989385	-529.5586699	-529.5043177	-529.4958283	-529.5586699	-529.5043177	-529.4958283	-529.5057019	-529.5016094	-529.9867494	-529.5526706	-529.504265	-529.5002061	-529.490628	-529.5525425	-529.503264	-529.4954028	-529.5525425	-529.503264	-529.4954028	-529.5040127	-529.5018733
3.45	-529.5581039	-529.5112145	-529.5056524	-529.4987276	-529.558539	-529.504343	-529.4956488	-529.558539	-529.504343	-529.4956488	-529.505734	-529.5016418	-529.9867494	-529.552541	-529.504299	-529.5001397	-529.4905771	-529.5524137	-529.5033031	-529.4952113	-529.5524137	-529.5033031	-529.4952113	-529.5040454	-529.5019069
3.4	-529.5579551	-529.511219	-529.505685	-529.4985198	-529.5584005	-529.5043722	-529.4954729	-529.5584005	-529.5043722	-529.4954729	-529.5057669	-529.501675	-529.9867472	-529.552407	-529.5043315	-529.5000754	-529.4905324	-529.5522785	-529.5033455	-529.4950244	-529.5522785	-529.5033455	-529.4950244	-529.5040784	-529.5019404
3.35	-529.5578006	-529.5112251	-529.5057182	-529.4983192	-529.5582545	-529.5044054	-529.4953017	-529.5582545	-529.5044054	-529.4953018	-529.5058003	-529.5017087	-529.9867424	-529.552268	-529.5043649	-529.500014	-529.4904964	-529.5521366	-529.5033914	-529.4948431	-529.5521377	-529.5033914	-529.494843	-529.504112	-529.5019743
3.3	-529.5576407	-529.5112322	-529.5057515	-529.4981275	-529.5581003	-529.5044428	-529.4951361	-529.5581002	-529.5044428	-529.4951361	-529.5058339	-529.5017425	-529.9867339	-529.552125	-529.5043984	-529.4999553	-529.4904701	-529.5519888	-529.5034411	-529.4946681	-529.5519887	-529.5034411	-529.494668	-529.5041455	-529.5020083
3.25	-529.5574756	-529.51124	-529.5057843	-529.4979466	-529.5579372	-529.5044845	-529.4949769	-529.5579371	-529.5044845	-529.4949769	-529.5058669	-529.5017757	-529.9867212	-529.5519776	-529.5044309	-529.4998987	-529.4904546	-529.5518322	-529.5034947	-529.4945004	-529.5518322	-529.5034947	-529.4945003	-529.5041786	-529.5020418
3.2	-529.5573054	-529.5112477	-529.505816	-529.4977786	-529.5577646	-529.5045307	-529.4948248	-529.5577657	-529.5045306	-529.4948249	-529.5058988	-529.5018078	-529.986703	-529.5518264	-529.5044627	-529.4998445	-529.4904513	-529.5516674	-529.5035524	-529.4943407	-529.5516674	-529.5035524	-529.4943406	-529.5042105	-529.502074
3.15	-529.5571309	-529.5112547	-529.5058458	-529.4976262	-529.5575828	-529.5045813	-529.4946805	-529.5575827	-529.5045813	-529.4946805	-529.5059286	-529.5018377	-529.9866779	-529.5516714	-529.5044933	-529.4997912	-529.4904611	-529.5514923	-529.5036142	-529.4941895	-529.5514923	-529.5036142	-529.4941895	-529.5042402	-529.5021041
3.1	-529.5569514	-529.5112595	-529.505872	-529.4974901	-529.5573882	-529.5046365	-529.4945442	-529.5573882	-529.5046365	-529.4945442	-529.505955	-529.5018641	-529.9866439	-529.5515128	-529.5045189	-529.4997397	-529.4904853	-529.5513097	-529.5036802	-529.4940473	-529.5513097	-529.5036802	-529.4940473	-529.5042664	-529.5021307
3.05	-529.5567675	-529.5112608	-529.5058934	-529.497373	-529.5571809	-529.5046962	-529.4944159	-529.5571808	-529.5046962	-529.4944159	-529.5059765	-529.5018856	-529.9865989	-529.5513508	-529.5045408	-529.4996865	-529.4905246	-529.5511131	-529.5037505	-529.4939139	-529.5511131	-529.5037505	-529.4939139	-529.5042877	-529.5021524
3	-529.5565796	-529.5112569	-529.5059079	-529.4972769	-529.5569591	-529.5047603	-529.4942952	-529.556959	-529.5047603	-529.4942952	-529.505991	-529.5019001	-529.9865404	-529.5511856	-529.504555	-529.4996318	-529.49058	-529.5509047	-529.5038248	-529.4937888	-529.5509047	-529.5038248	-529.4937888	-529.5043018	-529.502167
2.99	-529.5565415	-529.5112552	-529.5059097	-529.4972604	-529.5569127	-529.5047736	-529.4942719	-529.5569127	-529.5047736	-529.4942719	-529.5059929	-529.5019019	-529.9865267	-529.5511521	-529.5045569	-529.4996205	-529.490593	-529.5508613	-529.5038402	-529.4937647	-529.5508613	-529.5038402	-529.4937647	-529.5043036	-529.5021688
2.98	-529.5565033	-529.5112531	-529.5059112	-529.4972447	-529.5568657	-529.504787	-529.4942489	-529.5568657	-529.504787	-529.4942489	-529.5059944	-529.5019034	-529.9865124	-529.5511185	-529.5045583	-529.499609	-529.4906068	-529.5508172	-529.5038557	-529.4937409	-529.5508172	-529.5038557	-529.4937409	-529.504305	-529.5021703
2.97	-529.5564648	-529.5112508	-529.5059122	-529.49723	-529.556818	-529.5048007	-529.4942261	-529.556818	-529.5048007	-529.4942261	-529.5059954	-529.5019044	-529.9864973	-529.5510848	-529.5045585	-529.4995978	-529.4906212	-529.5507725	-529.5038713	-529.4937173	-529.5507725	-529.5038713	-529.4937173	-529.504306	-529.5021713
2.96	-529.5564262	-529.511248	-529.5059128	-529.4972163	-529.5567695	-529.5048144	-529.4942035	-529.5567695	-529.5048144	-529.4942035	-529.505996	-529.5019049	-529.9864815	-529.5510509	-529.504559	-529.4995859	-529.4906363	-529.5507271	-529.5038871	-529.493694	-529.5507284	-529.5038871	-529.4936941	-529.5043064	-529.5021718
2.95	-529.5563875	-529.5112448	-529.5059129	-529.4972035	-529.5567193	-529.5048284	-529.4941812	-529.5567193	-529.5048284	-529.4941812	-529.5059961	-529.501905	-529.9864648	-529.5510167	-529.504559	-529.4995738	-529.490652	-529.5506823	-529.503903	-529.493671	-529.5506823	-529.503903	-529.493671	-529.5043065	-529.5021719
2.94	-529.5563486	-529.5112412	-529.5059125	-529.4971917	-529.5566693	-529.5048424	-529.494159	-529.5566702	-529.5048423	-529.494159	-529.5059957	-529.5019046	-529.9864474	-529.5509825	-529.5045586	-529.4995614	-529.4906684	-529.5506355	-529.5039191	-529.4936482	-529.5506355	-529.5039191	-529.4936482	-529.504306	-529.5021715
2.93	-529.5563095	-529.5112371	-529.5059115	-529.4971809	-529.5566185	-529.5048566	-529.494137	-529.5566185	-529.5048566	-529.494137	-529.5059948	-529.5019036	-529.986429	-529.5509484	-529.5045575	-529.4995487	-529.4906855	-529.5505879	-529.5039353	-529.4936255	-529.5505879	-529.5039353	-529.4936256	-529.5043049	-529.5021705
2.92	-529.5562702	-529.5112325	-529.50591	-529.4971711	-529.5565668	-529.5048709	-529.4941152	-529.5565668	-529.5048709	-529.4941152	-529.5059933	-529.5019021	-529.9864098	-529.5509139	-529.5045559	-529.4995357	-529.4907032	-529.5505395	-529.5039516	-529.4936031	-529.5505395	-529.5039517	-529.4936031	-529.5043033	-529.502169
2.91	-529.5562308	-529.5112274	-529.5059079	-529.4971623	-529.5565143	-529.5048854	-529.4940936	-529.5565151	-529.5048853	-529.4940936	-529.5059913	-529.5019	-529.9863897	-529.5508792	-529.5045538	-529.4995224	-529.4907216	-529.5504904	-529.5039681	-529.4935809	-529.5504904	-529.5039681	-529.4935809	-529.5043011	-529.5021668
2.9	-529.5561912	-529.5112218	-529.5059052	-529.4971545	-529.5564617	-529.5048999	-529.4940721	-529.5564617	-529.5048999	-529.4940721	-529.5059885	-529.5018972	-529.9863685	-529.5508444	-529.5045509	-529.4995088	-529.4907407	-529.5504404	-529.5039847	-529.4935587	-529.5504404	-529.5039847	-529.4935588	-529.5042983	-529.502164
2.89	-529.5561514	-529.5112155	-529.5059018	-529.4971477	-529.5564074	-529.5049146	-529.4940506	-529.5564073	-529.5049146	-529.4940506	-529.5059852	-529.5018937	-529.9863463	-529.5508095	-529.5045474	-529.4994947	-529.4907605	-529.5503895	-529.5040014	-529.4935367	-529.5503895	-529.5040014	-529.4935368	-529.5042948	-529.5021606
2.88	-529.5561115	-529.5112086	-529.5058977	-529.497142	-529.556352	-529.5049294	-529.4940293	-529.556352	-529.5049294	-529.4940293	-529.5059811	-529.5018896	-529.986323	-529.5507744	-529.5045432	-529.4994803	-529.4907809	-529.5503378	-529.5040182	-529.4935148	-529.5503378	-529.5040182	-529.4935149	-529.5042896	-529.5021543
2.87	-529.5560714	-529.5112011	-529.5058928	-529.4971374	-529.5562957	-529.5049443	-529.494008	-529.5562957	-529.5049443	-529.494008	-529.5059762	-529.5018847	-529.9862986	-529.5507391	-529.5045383	-529.4994655	-529.4908019	-529.5502851	-529.5040351	-529.493493	-529.5502851	-529.5040351	-529.493493	-529.5042847	-529.5021494
2.86	-529.5560311	-529.5111928	-529.5058872	-529.4971338	-529.5562383	-529.5049597	-529.4939868	-529.5562383	-529.5049597	-529.4939868	-529.5059706	-529.501879	-529.986273	-529.5507037	-529.5045325	-529.4994502	-529.4908236	-529.5502314	-529.5040521	-529.4934712	-529.5502314	-529.5040521	-529.4934712	-529.5042789	-529.5021437
2.85	-529.5559906	-529.5111838	-529.5058807	-529.4971312	-529.556179	-529.5049744	-529.4939655	-529.556179	-529.5049744	-529.4939655	-529.5059642	-529.5018725	-529.9862463	-529.5506681	-529.5045259	-529.4994344	-529.490846	-529.5501756	-529.5040691	-529.4934494	-529.5501756	-529.5040691	-529.4934494	-529.5042722	-529.5021371
