 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME14           NACME15           NACME23           NACME24       NACME25           NACME34           NACME35           NACME45
     6.00   -0.03745763   -1.31907805E-11    9.66789708E-04    6.57299826E-04   -1.67032257E-12    1.44643672E-02    0.01585632    3.55241191E-09   -5.54206244E-11   -4.21207605E-02
     6.20   -0.03744285    9.12670237E-04    1.92282040E-13    6.13685880E-04    1.61261768E-02   -3.33531056E-10    0.01665799   -5.64370879E-09   -3.52764119E-02   -1.79353314E-11
     6.40   -0.03742414    8.39309601E-04   -1.34524192E-14    5.58769135E-04    1.74651558E-02    1.01970896E-10    0.01728636    3.41932909E-10   -2.93966226E-02    1.15729620E-11
     6.60   -0.03740460    7.56340693E-04    1.50061147E-13    4.99174225E-04    1.85350917E-02    6.94987592E-11    0.01777543    3.89912375E-10   -2.43828294E-02   -1.81425956E-11
     6.80   -0.03738605    6.70528086E-04    2.09439439E-13    4.39252581E-04    1.93836079E-02    9.61373597E-11    0.01815344   -1.33754594E-09   -2.01349698E-02    4.31980918E-12
     7.00   -0.03736940    5.86465961E-04    5.12352424E-13    3.81767401E-04    2.00518602E-02    4.59889978E-12    0.01844363   -2.61761460E-08   -1.65570171E-02    1.51349942E-11
     7.20   -0.03735501    5.07114020E-04   -1.22076279E-13    3.28367284E-04    2.05747753E-02    8.12963057E-11    0.01866492    2.14885647E-09   -1.35598388E-02   -1.60308236E-10
     7.40   -0.03734290    4.34216474E-04    4.44964022E-13    2.79923144E-04    2.09815783E-02    5.63096206E-13    0.01883259   -1.82301307E-09   -1.10623725E-02    1.05367567E-11
     7.60   -0.03733290    3.68631176E-04   -2.31049945E-17    2.36769038E-04    2.12964168E-02   -9.08026816E-11    0.01895889   -2.10297990E-09   -8.99186719E-03   -8.75906381E-12
     7.80   -0.03732475    3.10592429E-04   -3.21967521E-14    1.98880843E-04    2.15389950E-02   -1.26005490E-12    0.01905351    2.18052851E-09   -7.28368484E-03   -8.97526816E-12
     8.00   -0.03731820    2.59916633E-04    3.51835259E-13    1.66007960E-04    2.17251998E-02   -9.04874739E-11    0.01912407    4.53679207E-10   -5.88089716E-03    4.55236538E-13
     8.20   -0.03731297    2.16160913E-04   -2.65836894E-13    1.37768223E-04    2.18676968E-02   -2.73729875E-13    0.01917645    4.65860684E-09   -4.73380923E-03    7.70357605E-10
