E, K	sigma(1s5_2), cm2	sigma(1s5_1), cm2	sigma(1s5_0), cm2	sigma(1s4_1), cm2	sigma(1s4_0), cm2	sigma(1s3_0), cm2	sigma(1s2_1), cm2	sigma(1s2_0), cm2
1,205606E+03	1,695345E-14	1,755456E-14	1,775288E-14	1,751581E-14	1,784300E-14	1,735832E-14	1,875758E-14	1,853756E-14
1,262425E+03	1,689609E-14	1,749491E-14	1,769203E-14	1,745519E-14	1,778099E-14	1,730002E-14	1,868862E-14	1,846894E-14
1,321921E+03	1,683812E-14	1,743458E-14	1,763091E-14	1,739419E-14	1,771832E-14	1,724077E-14	1,861964E-14	1,839991E-14
1,384221E+03	1,677888E-14	1,737276E-14	1,756844E-14	1,733203E-14	1,765459E-14	1,718019E-14	1,854966E-14	1,833160E-14
1,449458E+03	1,672036E-14	1,731172E-14	1,750629E-14	1,727006E-14	1,759117E-14	1,712012E-14	1,847928E-14	1,826205E-14
1,517768E+03	1,666155E-14	1,725039E-14	1,744407E-14	1,720767E-14	1,752732E-14	1,705968E-14	1,840813E-14	1,819188E-14
1,589299E+03	1,660227E-14	1,718875E-14	1,738159E-14	1,714453E-14	1,746317E-14	1,699864E-14	1,833628E-14	1,812035E-14
1,664200E+03	1,654275E-14	1,712654E-14	1,731862E-14	1,708062E-14	1,739818E-14	1,693645E-14	1,826408E-14	1,804921E-14
1,742631E+03	1,648268E-14	1,706304E-14	1,725509E-14	1,701707E-14	1,733222E-14	1,687490E-14	1,819286E-14	1,797787E-14
1,824759E+03	1,642106E-14	1,700036E-14	1,719036E-14	1,695343E-14	1,726716E-14	1,681323E-14	1,812174E-14	1,790651E-14
1,910757E+03	1,636026E-14	1,693776E-14	1,712710E-14	1,688810E-14	1,720166E-14	1,675056E-14	1,804815E-14	1,783380E-14
2,000808E+03	1,629917E-14	1,687334E-14	1,706237E-14	1,682355E-14	1,713528E-14	1,668800E-14	1,797658E-14	1,776217E-14
2,095104E+03	1,623711E-14	1,680978E-14	1,699810E-14	1,675819E-14	1,706856E-14	1,662473E-14	1,790349E-14	1,768946E-14
2,193843E+03	1,617419E-14	1,674582E-14	1,693251E-14	1,669241E-14	1,700250E-14	1,656153E-14	1,783038E-14	1,761621E-14
2,297235E+03	1,611145E-14	1,668097E-14	1,686709E-14	1,662624E-14	1,693522E-14	1,649766E-14	1,775659E-14	1,754304E-14
2,405501E+03	1,604880E-14	1,661541E-14	1,680160E-14	1,655964E-14	1,686757E-14	1,643316E-14	1,768174E-14	1,746971E-14
2,518869E+03	1,598542E-14	1,655012E-14	1,673533E-14	1,649270E-14	1,679981E-14	1,636861E-14	1,760733E-14	1,739535E-14
2,637579E+03	1,592117E-14	1,648468E-14	1,666852E-14	1,642560E-14	1,673188E-14	1,630387E-14	1,753249E-14	1,732047E-14
2,761884E+03	1,585768E-14	1,641852E-14	1,660240E-14	1,635800E-14	1,666306E-14	1,623828E-14	1,745665E-14	1,724588E-14
2,892048E+03	1,579296E-14	1,635222E-14	1,653457E-14	1,628988E-14	1,659424E-14	1,617260E-14	1,738123E-14	1,716975E-14
3,028346E+03	1,572858E-14	1,628533E-14	1,646768E-14	1,622077E-14	1,652407E-14	1,610528E-14	1,730427E-14	1,709377E-14
3,171068E+03	1,566307E-14	1,621727E-14	1,639909E-14	1,615307E-14	1,645459E-14	1,603959E-14	1,722773E-14	1,701866E-14
3,320515E+03	1,559843E-14	1,614910E-14	1,633058E-14	1,608378E-14	1,638392E-14	1,597215E-14	1,715014E-14	1,694165E-14
3,477006E+03	1,553275E-14	1,608235E-14	1,626099E-14	1,601435E-14	1,631383E-14	1,590536E-14	1,707320E-14	1,686446E-14
3,640873E+03	1,546612E-14	1,601336E-14	1,619262E-14	1,594568E-14	1,624288E-14	1,583818E-14	1,699548E-14	1,678792E-14
3,812462E+03	1,539968E-14	1,594457E-14	1,612289E-14	1,587555E-14	1,617128E-14	1,577016E-14	1,691752E-14	1,671001E-14
