E, cm-1	Sigma_00, cm2	
1.0536180925e+05	3.1304113467e-14
1.0536318940e+05	3.1193053840e-14
1.0536458553e+05	3.1086894094e-14
1.0536599782e+05	3.1277740940e-14
1.0536742647e+05	3.1166907251e-14
1.0536887166e+05	3.1061616402e-14
1.0537033358e+05	3.1258877291e-14
1.0537181244e+05	3.1149989610e-14
1.0537330842e+05	3.1046370762e-14
1.0537482172e+05	3.1247960121e-14
1.0537635254e+05	3.1139955374e-14
1.0537790109e+05	3.1036115793e-14
1.0537946757e+05	3.1237822159e-14
1.0538105219e+05	3.1127773646e-14
1.0538265516e+05	3.1020693357e-14
1.0538427669e+05	3.0916285519e-14
1.0538591700e+05	3.0813965376e-14
1.0538757630e+05	3.0992050607e-14
1.0538925482e+05	3.0882902074e-14
1.0539095277e+05	3.0776218131e-14
1.0539267038e+05	3.0950574822e-14
1.0539440788e+05	3.0839206437e-14
1.0539616550e+05	3.0731322876e-14
1.0539794347e+05	3.0904447541e-14
1.0539974204e+05	3.0794319898e-14
1.0540156142e+05	3.0688224376e-14
1.0540340188e+05	3.0861485892e-14
1.0540526364e+05	3.0753747234e-14
1.0540714697e+05	3.0649338370e-14
1.0540905210e+05	3.0546930216e-14
1.0541097929e+05	3.0445019872e-14
1.0541292880e+05	3.0606989700e-14
1.0541490089e+05	3.0501369807e-14
1.0541689580e+05	3.0394784590e-14
1.0541891382e+05	3.0550186212e-14
1.0542095521e+05	3.0439123908e-14
1.0542302023e+05	3.0591126365e-14
1.0542510917e+05	3.0476214159e-14
1.0542722229e+05	3.0361695480e-14
1.0542935989e+05	3.0509354932e-14
1.0543152223e+05	3.0394276456e-14
1.0543370962e+05	3.0280476951e-14
1.0543592233e+05	3.0167119536e-14
1.0543816067e+05	3.0053574327e-14
1.0544042492e+05	3.0203769401e-14
1.0544271540e+05	3.0091520294e-14
1.0544503239e+05	3.0239394648e-14
1.0544737622e+05	3.0126650332e-14
1.0544974718e+05	3.0270210227e-14
1.0545214560e+05	3.0155322760e-14
1.0545457179e+05	3.0038018253e-14
1.0545702608e+05	3.0176389975e-14
1.0545950879e+05	3.0057670622e-14
1.0546202024e+05	2.9937256757e-14
1.0546456077e+05	2.9815605739e-14
1.0546713073e+05	2.9955840846e-14
1.0546973044e+05	2.9837089386e-14
1.0547236025e+05	2.9718340386e-14
1.0547502052e+05	2.9862154632e-14
1.0547771159e+05	2.9746121365e-14
1.0548043382e+05	2.9888522119e-14
1.0548318758e+05	2.9773052544e-14
1.0548597322e+05	2.9911098024e-14
1.0548879112e+05	2.9793848887e-14
1.0549164164e+05	2.9673001533e-14
1.0549452518e+05	2.9549696367e-14
1.0549744210e+05	2.9683085214e-14
1.0550039280e+05	2.9558289458e-14
1.0550337767e+05	2.9433741078e-14
1.0550639710e+05	2.9565528533e-14
1.0550945150e+05	2.9442425279e-14
1.0551254126e+05	2.9574251633e-14
1.0551566680e+05	2.9452454005e-14
1.0551882854e+05	2.9582447384e-14
1.0552202688e+05	2.9459599489e-14
1.0552526226e+05	2.9335497290e-14
1.0552853510e+05	2.9211539130e-14
1.0553184584e+05	2.9330519662e-14
1.0553519492e+05	2.9202741196e-14
1.0553858278e+05	2.9318177508e-14
1.0554200987e+05	2.9189606923e-14
1.0554547664e+05	2.9304569719e-14
1.0554898355e+05	2.9178164001e-14
1.0555253107e+05	2.9294101096e-14
1.0555611968e+05	2.9169929720e-14
1.0555974983e+05	2.9048524538e-14
1.0556342202e+05	2.8929868305e-14
1.0556713673e+05	2.9037054160e-14
1.0557089446e+05	2.9144471806e-14
1.0557469570e+05	2.9018429305e-14
1.0557854095e+05	2.9122209122e-14
1.0558243074e+05	2.8996028590e-14
1.0558636556e+05	2.9099101721e-14
1.0559034594e+05	2.8975452423e-14
1.0559437242e+05	2.8856067024e-14
1.0559844552e+05	2.8739974669e-14
1.0560256579e+05	2.8838005490e-14
1.0560673376e+05	2.8720187233e-14
1.0561095000e+05	2.8813203500e-14
1.0561521506e+05	2.8904741408e-14
1.0561952951e+05	2.8780051103e-14
1.0562389392e+05	2.8867996575e-14
1.0562830886e+05	2.8744033855e-14
1.0563277493e+05	2.8623258701e-14
1.0563729271e+05	2.8504046224e-14
1.0564186280e+05	2.8590880045e-14
1.0564648582e+05	2.8675824057e-14
1.0565116236e+05	2.8555156162e-14
1.0565589306e+05	2.8635813491e-14
1.0566067854e+05	2.8512880070e-14
1.0566551943e+05	2.8590712830e-14
1.0567041637e+05	2.8468369460e-14
1.0567537002e+05	2.8346259720e-14
1.0568038103e+05	2.8426636915e-14
1.0568545006e+05	2.8305638260e-14
1.0569057779e+05	2.8384780346e-14
1.0569576490e+05	2.8460076165e-14
1.0570101207e+05	2.8336531754e-14
1.0570632000e+05	2.8408103902e-14
1.0571168939e+05	2.8282853982e-14
1.0571712096e+05	2.8156039713e-14
1.0572261542e+05	2.8229717911e-14
1.0572817351e+05	2.8301435015e-14
1.0573379595e+05	2.8176607286e-14
1.0573948350e+05	2.8245880812e-14
1.0574523691e+05	2.8311091874e-14
1.0575105694e+05	2.8183465100e-14
1.0575694436e+05	2.8053442172e-14
1.0576289996e+05	2.8119410453e-14
1.0576892452e+05	2.7991051750e-14
1.0577501883e+05	2.8057791073e-14
1.0578118372e+05	2.8122187023e-14
1.0578742000e+05	2.7993059953e-14
1.0579372848e+05	2.8053681507e-14
1.0580011002e+05	2.7921938563e-14
1.0580656545e+05	2.7791433846e-14
1.0581309563e+05	2.7850755398e-14
1.0581970143e+05	2.7910169122e-14
1.0582638371e+05	2.7781409610e-14
1.0583314338e+05	2.7837647584e-14
1.0583998132e+05	2.7891511366e-14
1.0584689844e+05	2.7759264956e-14
1.0585389565e+05	2.7630473617e-14
1.0586097389e+05	2.7681479928e-14
1.0586813409e+05	2.7733014366e-14
1.0587537720e+05	2.7606609940e-14
1.0588270418e+05	2.7654648537e-14
1.0589011601e+05	2.7700794996e-14
1.0589761366e+05	2.7571834092e-14
1.0590519813e+05	2.7447066450e-14
1.0591287042e+05	2.7490865191e-14
1.0592063156e+05	2.7534318067e-14
1.0592848256e+05	2.7576378994e-14
1.0593642447e+05	2.7616457859e-14
1.0594445835e+05	2.7488494694e-14
1.0595258526e+05	2.7363867610e-14
1.0596080627e+05	2.7401693760e-14
1.0596912247e+05	2.7439124361e-14
1.0597753497e+05	2.7316199720e-14
1.0598604489e+05	2.7350578810e-14
1.0599465334e+05	2.7382979987e-14
1.0600336148e+05	2.7258597842e-14
1.0601217045e+05	2.7291556608e-14
1.0602108142e+05	2.7323585653e-14
1.0603009558e+05	2.7199487053e-14
1.0603921412e+05	2.7228842729e-14
1.0604843824e+05	2.7256471113e-14
1.0605776918e+05	2.7130760945e-14
1.0606720816e+05	2.7160003786e-14
1.0607675644e+05	2.7187511738e-14
1.0608641529e+05	2.7059517366e-14
1.0609618598e+05	2.7084809778e-14
1.0610606981e+05	2.7109232783e-14
1.0611606808e+05	2.6979937056e-14
1.0612618213e+05	2.7005563345e-14
1.0613641330e+05	2.7028598332e-14
1.0614676294e+05	2.7049281302e-14
1.0615723242e+05	2.6917180620e-14
1.0616782314e+05	2.6939332800e-14
1.0617853648e+05	2.6805843745e-14
1.0618937388e+05	2.6826231567e-14
1.0620033678e+05	2.6844944544e-14
1.0621142662e+05	2.6863111456e-14
1.0622264487e+05	2.6880880823e-14
1.0623399302e+05	2.6746381139e-14
1.0624547258e+05	2.6761093814e-14
1.0625708507e+05	2.6775409744e-14
1.0626883202e+05	2.6791080181e-14
1.0628071499e+05	2.6805678001e-14
1.0629273557e+05	2.6670957889e-14
1.0630489533e+05	2.6538221998e-14
1.0631719590e+05	2.6548607352e-14
1.0632963890e+05	2.6557341387e-14
1.0634222599e+05	2.6565270494e-14
1.0635495882e+05	2.6573646236e-14
1.0636783910e+05	2.6444778490e-14
1.0638086852e+05	2.6454705815e-14
1.0639404882e+05	2.6463809523e-14
1.0640738174e+05	2.6470995571e-14
1.0642086904e+05	2.6475921875e-14
1.0643451252e+05	2.6344857399e-14
1.0644831399e+05	2.6345120824e-14
1.0646227527e+05	2.6344185273e-14
1.0647639821e+05	2.6343101898e-14
1.0649068469e+05	2.6342339073e-14
1.0650513660e+05	2.6342893263e-14
1.0651975585e+05	2.6344944390e-14
1.0653454439e+05	2.6347589203e-14
1.0654950417e+05	2.6350287811e-14
1.0656463717e+05	2.6224257982e-14
1.0657994541e+05	2.6224664398e-14
1.0659543091e+05	2.6222460607e-14
1.0661109572e+05	2.6217371218e-14
1.0662694192e+05	2.6208964087e-14
