State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	State8	Sigma8	State9	Sigma9	State10	Sigma10	
9.315615e+04	2.018157e-14	9.371242e+04	2.053818e-14	9.522686e+04	2.152425e-14	1.040917e+05	3.061766e-14	1.053109e+05	3.600551e-14	1.054680e+05	3.543986e-14	1.058871e+05	4.351591e-14	1.060209e+05	3.429995e-14	1.068647e+05	3.588412e-14	1.070032e+05	4.224099e-14	1.071961e+05	3.721996e-14
9.315962e+04	2.014420e-14	9.371589e+04	2.050213e-14	9.523033e+04	2.148431e-14	1.040952e+05	3.054986e-14	1.053143e+05	3.589986e-14	1.054715e+05	3.533365e-14	1.058905e+05	4.347609e-14	1.060244e+05	3.418003e-14	1.068681e+05	3.574976e-14	1.070067e+05	4.216788e-14	1.071996e+05	3.709253e-14
9.316324e+04	2.007180e-14	9.371951e+04	2.043618e-14	9.523395e+04	2.142758e-14	1.040988e+05	3.047309e-14	1.053179e+05	3.575426e-14	1.054751e+05	3.519786e-14	1.058941e+05	4.298289e-14	1.060280e+05	3.403613e-14	1.068718e+05	3.556872e-14	1.070103e+05	4.177566e-14	1.072032e+05	3.688162e-14
9.316704e+04	2.003667e-14	9.372331e+04	2.040059e-14	9.523775e+04	2.138633e-14	1.041026e+05	3.040146e-14	1.053217e+05	3.565305e-14	1.054789e+05	3.509655e-14	1.058979e+05	4.295701e-14	1.060318e+05	3.391606e-14	1.068756e+05	3.543690e-14	1.070141e+05	4.171351e-14	1.072070e+05	3.675734e-14
9.317102e+04	2.000000e-14	9.372729e+04	2.036398e-14	9.524173e+04	2.134552e-14	1.041066e+05	3.032847e-14	1.053257e+05	3.554954e-14	1.054829e+05	3.498997e-14	1.059019e+05	4.290278e-14	1.060358e+05	3.379394e-14	1.068795e+05	3.530398e-14	1.070181e+05	4.162957e-14	1.072110e+05	3.662696e-14
9.317518e+04	1.996288e-14	9.373145e+04	2.032534e-14	9.524589e+04	2.130456e-14	1.041108e+05	3.025417e-14	1.053299e+05	3.544418e-14	1.054871e+05	3.488173e-14	1.059061e+05	4.282783e-14	1.060399e+05	3.366846e-14	1.068837e+05	3.516715e-14	1.070223e+05	4.152926e-14	1.072152e+05	3.649144e-14
9.317954e+04	1.992348e-14	9.373581e+04	2.028603e-14	9.525025e+04	2.126068e-14	1.041151e+05	3.017920e-14	1.053342e+05	3.533769e-14	1.054914e+05	3.476967e-14	1.059104e+05	4.273488e-14	1.060443e+05	3.354093e-14	1.068881e+05	3.502722e-14	1.070266e+05	4.141603e-14	1.072195e+05	3.635203e-14
9.318411e+04	1.988343e-14	9.374038e+04	2.024514e-14	9.525482e+04	2.121429e-14	1.041197e+05	3.010393e-14	1.053388e+05	3.522889e-14	1.054960e+05	3.465563e-14	1.059150e+05	4.262834e-14	1.060489e+05	3.341185e-14	1.068926e+05	3.488588e-14	1.070312e+05	4.129349e-14	1.072241e+05	3.620917e-14
9.318889e+04	1.982049e-14	9.374516e+04	2.018510e-14	9.525960e+04	2.115809e-14	1.041245e+05	3.002384e-14	1.053436e+05	3.509241e-14	1.055008e+05	3.451630e-14	1.059198e+05	4.219169e-14	1.060536e+05	3.326745e-14	1.068974e+05	3.471286e-14	1.070360e+05	4.094191e-14	1.072289e+05	3.600762e-14
9.319389e+04	1.978237e-14	9.375016e+04	2.014637e-14	9.526460e+04	2.111199e-14	1.041295e+05	2.994600e-14	1.053486e+05	3.498260e-14	1.055058e+05	3.440052e-14	1.059248e+05	4.209211e-14	1.060586e+05	3.313818e-14	1.069024e+05	3.457433e-14	1.070410e+05	4.082634e-14	1.072339e+05	3.586524e-14
