R Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
5.300000 -0.003260 0.061419 0.042725 -0.044400 -0.003587 -0.001377 0.053198 0.025236 -0.021781 0.002435 0.009659 -0.007767 0.008130 0.000483 -0.022747 -0.020945 -0.046025 0.035990 0.038148 -0.037694
5.400000 -0.004401 0.055928 0.040127 -0.042022 -0.003408 -0.002121 0.050519 0.022551 -0.018882 0.002967 0.008575 -0.006895 0.007218 0.000429 -0.020194 -0.018594 -0.040859 0.031950 0.033866 -0.033463
5.500000 -0.005449 0.050645 0.037593 -0.039682 -0.003227 -0.002807 0.047879 0.019977 -0.016125 0.003446 0.007622 -0.006130 0.006416 0.000381 -0.017951 -0.016530 -0.036322 0.028403 0.030106 -0.029748
5.600000 -0.006407 0.045606 0.035147 -0.037409 -0.003048 -0.003438 0.045307 0.017529 -0.013522 0.003878 0.006785 -0.005456 0.005711 0.000339 -0.015978 -0.014713 -0.032330 0.025281 0.026797 -0.026478
5.700000 -0.007277 0.040834 0.032806 -0.035221 -0.002874 -0.004013 0.042829 0.015218 -0.011078 0.004267 0.006046 -0.004862 0.005089 0.000302 -0.014238 -0.013110 -0.028809 0.022527 0.023878 -0.023594
5.800000 -0.008065 0.036345 0.030584 -0.033134 -0.002707 -0.004537 0.040460 0.013051 -0.008798 0.004615 0.005393 -0.004336 0.004539 0.000270 -0.012700 -0.011694 -0.025697 0.020094 0.021299 -0.021045
5.900000 -0.008776 0.032146 0.028487 -0.031157 -0.002548 -0.005011 0.038214 0.011029 -0.006681 0.004928 0.004814 -0.003871 0.004052 0.000241 -0.011338 -0.010440 -0.022941 0.017939 0.019015 -0.018789
6.000000 -0.009415 0.028240 0.026522 -0.029298 -0.002398 -0.005438 0.036098 0.009152 -0.004723 0.005207 0.004301 -0.003459 0.003621 0.000215 -0.010130 -0.009327 -0.020496 0.016027 0.016988 -0.016786
6.200000 -0.010500 0.021283 0.022988 -0.025940 -0.002127 -0.006166 0.032271 0.005821 -0.001265 0.005678 0.003439 -0.002766 0.002895 0.000172 -0.008100 -0.007458 -0.016389 0.012816 0.013584 -0.013423
6.400000 -0.011362 0.015405 0.019967 -0.023056 -0.001896 -0.006748 0.028976 0.003018 0.001629 0.006051 0.002755 -0.002215 0.002319 0.000138 -0.006487 -0.005974 -0.013126 0.010264 0.010880 -0.010750
6.600000 -0.012041 0.010500 0.017422 -0.020616 -0.001702 -0.007208 0.026184 0.000688 0.004023 0.006344 0.002208 -0.001776 0.001859 0.000110 -0.005200 -0.004788 -0.010521 0.008227 0.008721 -0.008617
6.800000 -0.012572 0.006450 0.015301 -0.018577 -0.001541 -0.007569 0.023847 -0.001230 0.005986 0.006574 0.001770 -0.001423 0.001490 0.000089 -0.004168 -0.003838 -0.008434 0.006595 0.006991 -0.006908
7.000000 -0.012984 0.003135 0.013551 -0.016889 -0.001409 -0.007849 0.021910 -0.002795 0.007582 0.006752 0.001418 -0.001140 0.001194 0.000071 -0.003340 -0.003075 -0.006757 0.005284 0.005601 -0.005534
7.200000 -0.013301 0.000441 0.012118 -0.015504 -0.001302 -0.008066 0.020319 -0.004063 0.008871 0.006890 0.001135 -0.000913 0.000955 0.000057 -0.002673 -0.002461 -0.005409 0.004229 0.004483 -0.004430
7.400000 -0.013543 -0.001735 0.010953 -0.014376 -0.001216 -0.008233 0.019020 -0.005084 0.009905 0.006996 0.000907 -0.000730 0.000764 0.000045 -0.002137 -0.001967 -0.004323 0.003381 0.003583 -0.003541
7.600000 -0.013728 -0.003482 0.010012 -0.013462 -0.001146 -0.008360 0.017968 -0.005901 0.010732 0.007077 0.000724 -0.000582 0.000609 0.000036 -0.001705 -0.001570 -0.003450 0.002698 0.002859 -0.002825
7.800000 -0.013868 -0.004876 0.009256 -0.012728 -0.001091 -0.008457 0.017120 -0.006553 0.011388 0.007139 0.000577 -0.000464 0.000485 0.000029 -0.001358 -0.001251 -0.002748 0.002149 0.002278 -0.002251
8.000000 -0.013973 -0.005984 0.008653 -0.012140 -0.001048 -0.008530 0.016441 -0.007069 0.011907 0.007187 0.000458 -0.000369 0.000386 0.000023 -0.001080 -0.000994 -0.002185 0.001708 0.001811 -0.001789
8.200000 -0.014052 -0.006860 0.008173 -0.011672 -0.001013 -0.008585 0.015901 -0.007476 0.012316 0.007222 0.000364 -0.000293 0.000306 0.000018 -0.000857 -0.000789 -0.001734 0.001356 0.001437 -0.001420
8.400000 -0.014112 -0.007550 0.007794 -0.011302 -0.000986 -0.008627 0.015473 -0.007796 0.012637 0.007249 0.000288 -0.000232 0.000243 0.000014 -0.000679 -0.000625 -0.001373 0.001074 0.001138 -0.001125
8.600000 -0.014156 -0.008090 0.007496 -0.011010 -0.000965 -0.008658 0.015135 -0.008047 0.012887 0.007270 0.000228 -0.000183 0.000192 0.000011 -0.000536 -0.000494 -0.001085 0.000849 0.000900 -0.000889
8.800000 -0.014190 -0.008513 0.007262 -0.010781 -0.000949 -0.008681 0.014870 -0.008242 0.013082 0.007285 0.000180 -0.000145 0.000151 0.000009 -0.000423 -0.000390 -0.000856 0.000670 0.000710 -0.000701
9.000000 -0.014214 -0.008842 0.007079 -0.010601 -0.000936 -0.008699 0.014662 -0.008395 0.013234 0.007297 0.000142 -0.000114 0.000119 0.000007 -0.000333 -0.000307 -0.000674 0.000527 0.000559 -0.000552
9.200000 -0.014233 -0.009098 0.006936 -0.010461 -0.000926 -0.008712 0.014500 -0.008513 0.013351 0.007305 0.000111 -0.000089 0.000094 0.000006 -0.000262 -0.000241 -0.000530 0.000414 0.000439 -0.000434
9.400000 -0.014247 -0.009297 0.006825 -0.010352 -0.000918 -0.008722 0.014373 -0.008604 0.013442 0.007312 0.000087 -0.000070 0.000073 0.000004 -0.000205 -0.000189 -0.000415 0.000325 0.000344 -0.000340
9.600000 -0.014257 -0.009451 0.006739 -0.010267 -0.000912 -0.008729 0.014275 -0.008675 0.013512 0.007317 0.000068 -0.000055 0.000057 0.000003 -0.000161 -0.000148 -0.000325 0.000254 0.000269 -0.000266
9.800000 -0.014264 -0.009570 0.006672 -0.010201 -0.000907 -0.008734 0.014198 -0.008730 0.013566 0.007320 0.000053 -0.000043 0.000045 0.000003 -0.000125 -0.000115 -0.000254 0.000198 0.000210 -0.000208
10.000000 -0.014270 -0.009662 0.006620 -0.010150 -0.000904 -0.008738 0.014138 -0.008772 0.013608 0.007323 0.000041 -0.000033 0.000035 0.000002 -0.000098 -0.000090 -0.000198 0.000154 0.000164 -0.000162
10.500000 -0.014277 -0.009805 0.006542 -0.010073 -0.000898 -0.008743 0.014051 -0.008840 0.013675 0.007326 0.000023 -0.000018 0.000019 0.000001 -0.000054 -0.000050 -0.000109 0.000085 0.000090 -0.000089
11.000000 -0.014282 -0.009885 0.006492 -0.010024 -0.000895 -0.008747 0.013992 -0.008874 0.013708 0.007328 0.000012 -0.000009 0.000010 0.000001 -0.000027 -0.000025 -0.000055 0.000043 0.000046 -0.000045
