R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
7.8	0.000458	0.000127	-0.000221	0.000354	0.000235	-0.000388	-3.2E-05	-0.000336	0.001299	0.002064	0.001031	0.001874	-0.002161	-0.002017	-0.000597	-0.001661	-0.000639	-0.000496	9.2E-05	-0.001118	-0.00182	0.001066	-0.002231	0.001068	-0.001445	-0.000113	-0.001096	0.00182
8	0.000364	0.000101	-0.000175	0.000281	0.000187	-0.000309	-2.6E-05	-0.000267	0.001033	0.001641	0.00082	0.00149	-0.001718	-0.001604	-0.000475	-0.001321	-0.000508	-0.000395	7.3E-05	-0.000889	-0.001448	0.000848	-0.001775	0.000849	-0.00115	-9.1E-05	-0.000872	0.001447
8.2	0.000289	8E-05	-0.000139	0.000223	0.000148	-0.000245	-2E-05	-0.000212	0.000819	0.001302	0.000651	0.001182	-0.001364	-0.001273	-0.000377	-0.001049	-0.000403	-0.000314	5.9E-05	-0.000705	-0.001149	0.000673	-0.001409	0.000674	-0.000913	-7.3E-05	-0.000692	0.001149
8.4	0.000229	6.4E-05	-0.00011	0.000177	0.000117	-0.000194	-1.6E-05	-0.000168	0.000649	0.001031	0.000515	0.000937	-0.00108	-0.001009	-0.000298	-0.000832	-0.000319	-0.000249	4.7E-05	-0.000559	-0.000911	0.000533	-0.001117	0.000534	-0.000724	-5.8E-05	-0.000548	0.000911
8.6	0.000181	5.1E-05	-8.7E-05	0.00014	9.3E-05	-0.000154	-1.3E-05	-0.000133	0.000513	0.000815	0.000407	0.00074	-0.000854	-0.000799	-0.000236	-0.000658	-0.000252	-0.000198	3.8E-05	-0.000442	-0.000721	0.000421	-0.000883	0.000422	-0.000573	-4.7E-05	-0.000433	0.00072
8.8	0.000143	4E-05	-6.9E-05	0.000111	7.3E-05	-0.000121	-1E-05	-0.000105	0.000405	0.000643	0.000321	0.000584	-0.000674	-0.000631	-0.000186	-0.00052	-0.000199	-0.000156	3.1E-05	-0.000348	-0.000569	0.000332	-0.000698	0.000333	-0.000452	-3.7E-05	-0.000342	0.000569
9	0.000112	3.2E-05	-5.4E-05	8.7E-05	5.8E-05	-9.6E-05	-8E-06	-8.3E-05	0.000319	0.000507	0.000253	0.00046	-0.00053	-0.000497	-0.000147	-0.00041	-0.000157	-0.000124	2.5E-05	-0.000274	-0.000449	0.000262	-0.00055	0.000262	-0.000356	-3E-05	-0.000269	0.000448
9.2	8.8E-05	2.5E-05	-4.3E-05	6.9E-05	4.5E-05	-7.5E-05	-6E-06	-6.5E-05	0.000251	0.000398	0.000199	0.000361	-0.000417	-0.000391	-0.000115	-0.000323	-0.000123	-9.8E-05	2E-05	-0.000216	-0.000353	0.000206	-0.000432	0.000206	-0.00028	-2.4E-05	-0.000211	0.000353
9.4	6.9E-05	2E-05	-3.3E-05	5.4E-05	3.6E-05	-5.9E-05	-5E-06	-5.1E-05	0.000197	0.000312	0.000156	0.000283	-0.000327	-0.000307	-9E-05	-0.000253	-9.7E-05	-7.7E-05	1.6E-05	-0.000169	-0.000277	0.000161	-0.000339	0.000162	-0.00022	-1.9E-05	-0.000166	0.000277
9.6	5.4E-05	1.5E-05	-2.6E-05	4.2E-05	2.8E-05	-4.6E-05	-4E-06	-4E-05	0.000154	0.000244	0.000122	0.000222	-0.000256	-0.00024	-7.1E-05	-0.000198	-7.6E-05	-6E-05	1.3E-05	-0.000132	-0.000217	0.000126	-0.000266	0.000126	-0.000172	-1.5E-05	-0.00013	0.000217
9.8	4.2E-05	1.2E-05	-2E-05	3.3E-05	2.2E-05	-3.6E-05	-3E-06	-3.1E-05	0.00012	0.000191	9.5E-05	0.000173	-0.000199	-0.000188	-5.5E-05	-0.000155	-5.9E-05	-4.7E-05	1E-05	-0.000103	-0.00017	9.8E-05	-0.000208	9.9E-05	-0.000135	-1.2E-05	-0.000101	0.000169
10	3.3E-05	9E-06	-1.6E-05	2.6E-05	1.7E-05	-2.8E-05	-2E-06	-2.4E-05	9.3E-05	0.000148	7.4E-05	0.000135	-0.000155	-0.000147	-4.3E-05	-0.000121	-4.6E-05	-3.7E-05	8E-06	-8E-05	-0.000132	7.7E-05	-0.000162	7.7E-05	-0.000105	-1E-05	-7.9E-05	0.000132
10.5	1.8E-05	5E-06	-9E-06	1.4E-05	9E-06	-1.6E-05	-1E-06	-1.3E-05	5.2E-05	8.2E-05	4.1E-05	7.4E-05	-8.6E-05	-8.1E-05	-2.4E-05	-6.7E-05	-2.5E-05	-2.1E-05	5E-06	-4.4E-05	-7.3E-05	4.2E-05	-9E-05	4.2E-05	-5.8E-05	-6E-06	-4.3E-05	7.3E-05
11	9E-06	3E-06	-4E-06	7E-06	5E-06	-8E-06	-1E-06	-7E-06	2.6E-05	4.1E-05	2.1E-05	3.7E-05	-4.3E-05	-4.1E-05	-1.2E-05	-3.4E-05	-1.3E-05	-1.1E-05	3E-06	-2.2E-05	-3.7E-05	2.1E-05	-4.5E-05	2.1E-05	-2.9E-05	-3E-06	-2.2E-05	3.7E-05
