State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	
1.674193e+02	1.338823e-14	9.378866e+04	1.941333e-14	9.527278e+04	2.089726e-14	1.055339e+05	3.066450e-14	1.061056e+05	2.159784e-14	1.069410e+05	3.903090e-14	1.070843e+05	3.934220e-14	1.086152e+05	4.201370e-14
1.753538e+02	1.309401e-14	9.379659e+04	1.936464e-14	9.528071e+04	2.084511e-14	1.055418e+05	3.021857e-14	1.061136e+05	2.116385e-14	1.069489e+05	3.886169e-14	1.070922e+05	3.917513e-14	1.086231e+05	4.182192e-14
1.836623e+02	1.280584e-14	9.380490e+04	1.931434e-14	9.528902e+04	2.079230e-14	1.055501e+05	2.977219e-14	1.061219e+05	2.075123e-14	1.069573e+05	3.869018e-14	1.071005e+05	3.900446e-14	1.086314e+05	4.162556e-14
1.923623e+02	1.252493e-14	9.381360e+04	1.926294e-14	9.529772e+04	2.073803e-14	1.055588e+05	2.966951e-14	1.061306e+05	2.037673e-14	1.069660e+05	3.851536e-14	1.071092e+05	3.882924e-14	1.086401e+05	4.142703e-14
2.014724e+02	1.225417e-14	9.382271e+04	1.921960e-14	9.530683e+04	2.069072e-14	1.055679e+05	3.031186e-14	1.061397e+05	2.006745e-14	1.069751e+05	3.841942e-14	1.071183e+05	3.873605e-14	1.086492e+05	4.141124e-14
2.110118e+02	1.199357e-14	9.383225e+04	1.916539e-14	9.531637e+04	2.063397e-14	1.055775e+05	3.059753e-14	1.061492e+05	1.977669e-14	1.069846e+05	3.824166e-14	1.071279e+05	3.840072e-14	1.086588e+05	4.120923e-14
2.210008e+02	1.173549e-14	9.384224e+04	1.911100e-14	9.532636e+04	2.057624e-14	1.055875e+05	3.079385e-14	1.061592e+05	1.951577e-14	1.069946e+05	3.806271e-14	1.071379e+05	3.831369e-14	1.086688e+05	4.100198e-14
2.314605e+02	1.148436e-14	9.385270e+04	1.905753e-14	9.533682e+04	2.051746e-14	1.055979e+05	3.112512e-14	1.061697e+05	1.926245e-14	1.070051e+05	3.788178e-14	1.071483e+05	3.836460e-14	1.086792e+05	4.079045e-14
2.424132e+02	1.124680e-14	9.386365e+04	1.901240e-14	9.534777e+04	2.046396e-14	1.056089e+05	3.096696e-14	1.061806e+05	1.902108e-14	1.070160e+05	3.776640e-14	1.071593e+05	3.813619e-14	1.086902e+05	4.073063e-14
2.538821e+02	1.100989e-14	9.387512e+04	1.895977e-14	9.535924e+04	2.040453e-14	1.056203e+05	3.021128e-14	1.061921e+05	1.874422e-14	1.070275e+05	3.758368e-14	1.071707e+05	3.742505e-14	1.087017e+05	4.051483e-14
2.658915e+02	1.078805e-14	9.388713e+04	1.891493e-14	9.537125e+04	2.034948e-14	1.056323e+05	2.945594e-14	1.062041e+05	1.845697e-14	1.070395e+05	3.745503e-14	1.071827e+05	3.826558e-14	1.087137e+05	4.042427e-14
2.784669e+02	1.056644e-14	9.389971e+04	1.886271e-14	9.538383e+04	2.028993e-14	1.056449e+05	2.865612e-14	1.062167e+05	1.813157e-14	1.070521e+05	3.727040e-14	1.071953e+05	3.796939e-14	1.087262e+05	4.020881e-14
2.916349e+02	1.035709e-14	9.391287e+04	1.881609e-14	9.539699e+04	2.023357e-14	1.056581e+05	2.773124e-14	1.062298e+05	1.779736e-14	1.070652e+05	3.713316e-14	1.072085e+05	3.684418e-14	1.087394e+05	4.010080e-14
3.054236e+02	1.014985e-14	9.392666e+04	1.876256e-14	9.541078e+04	2.017386e-14	1.056719e+05	2.693769e-14	1.062436e+05	1.743691e-14	1.070790e+05	3.694858e-14	1.072223e+05	3.665751e-14	1.087532e+05	3.988460e-14
3.198620e+02	9.952695e-15	9.394110e+04	1.871243e-14	9.542522e+04	2.011656e-14	1.056863e+05	2.642103e-14	1.062581e+05	1.708563e-14	1.070935e+05	3.680442e-14	1.072367e+05	3.748059e-14	1.087676e+05	3.976371e-14
3.349810e+02	9.760765e-15	9.395622e+04	1.865561e-14	9.544034e+04	2.005568e-14	1.057014e+05	2.620239e-14	1.062732e+05	1.672678e-14	1.071086e+05	3.661824e-14	1.072518e+05	3.788190e-14	1.087828e+05	3.954339e-14
3.508124e+02	9.576227e-15	9.397205e+04	1.860297e-14	9.545617e+04	1.999625e-14	1.057173e+05	2.629472e-14	1.062890e+05	1.639394e-14	1.071244e+05	3.646993e-14	1.072677e+05	3.727853e-14	1.087986e+05	3.941070e-14
3.673900e+02	9.398214e-15	9.398863e+04	1.854930e-14	9.547275e+04	1.993591e-14	1.057338e+05	2.668084e-14	1.063056e+05	1.608125e-14	1.071410e+05	3.631719e-14	1.072842e+05	3.614859e-14	1.088152e+05	3.926767e-14
3.847489e+02	9.228556e-15	9.400599e+04	1.849260e-14	9.549011e+04	1.987269e-14	1.057512e+05	2.730260e-14	1.063230e+05	1.578644e-14	1.071583e+05	3.613197e-14	1.073016e+05	3.536761e-14	1.088325e+05	3.904520e-14
4.029258e+02	9.062215e-15	9.402417e+04	1.844063e-14	9.550829e+04	1.981078e-14	1.057694e+05	2.807371e-14	1.063411e+05	1.552993e-14	1.071765e+05	3.597769e-14	1.073198e+05	3.544837e-14	1.088507e+05	3.889550e-14
4.219594e+02	8.903208e-15	9.404320e+04	1.838794e-14	9.552732e+04	1.974822e-14	1.057884e+05	2.889905e-14	1.063602e+05	1.530523e-14	1.071955e+05	3.582039e-14	1.073388e+05	3.613677e-14	1.088697e+05	3.873859e-14
4.418901e+02	8.750603e-15	9.406313e+04	1.833371e-14	9.554725e+04	1.968549e-14	1.058083e+05	2.968598e-14	1.063801e+05	1.511416e-14	1.072155e+05	3.566020e-14	1.073587e+05	3.686322e-14	1.088897e+05	3.857730e-14
4.627600e+02	8.598516e-15	9.408400e+04	1.827528e-14	9.556812e+04	1.962087e-14	1.058292e+05	3.035277e-14	1.064010e+05	1.494782e-14	1.072363e+05	3.547376e-14	1.073796e+05	3.709879e-14	1.089105e+05	3.835347e-14
