R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7> Re<6|V|7>
5.400000 0.000004 0.000011 0.000072 0.000058 0.000044 -0.000110 0.000075 0.007544 0.001096 0.005761 -0.000969 0.003989 -0.004103 -0.000614 0.001832 0.000565 0.010376 0.021030 -0.034166 0.013919 0.013838 -0.006889 0.024751 0.003052 0.002467 0.000765 0.000074
5.500000 0.000004 0.000011 0.000064 0.000051 0.000047 -0.000100 0.000080 0.008361 0.001258 0.006145 -0.001064 0.004278 -0.004547 -0.000703 0.001960 0.000620 0.011093 0.018695 -0.030372 0.012373 0.012302 -0.006124 0.022002 0.002713 0.002193 0.000681 0.000065
5.600000 0.000004 0.000011 0.000057 0.000046 0.000050 -0.000091 0.000084 0.009103 0.001406 0.006484 -0.001150 0.004541 -0.004951 -0.000785 0.002079 0.000669 0.011737 0.016640 -0.027034 0.011013 0.010950 -0.005451 0.019584 0.002415 0.001952 0.000606 0.000058
5.700000 0.000004 0.000011 0.000051 0.000041 0.000051 -0.000083 0.000085 0.009774 0.001543 0.006782 -0.001227 0.004779 -0.005316 -0.000860 0.002189 0.000713 0.012314 0.014828 -0.024089 0.009814 0.009757 -0.004857 0.017451 0.002152 0.001739 0.000540 0.000052
5.800000 0.000004 0.000011 0.000045 0.000037 0.000051 -0.000075 0.000085 0.010380 0.001668 0.007044 -0.001297 0.004994 -0.005645 -0.000929 0.002290 0.000753 0.012829 0.013226 -0.021487 0.008754 0.008703 -0.004333 0.015566 0.001919 0.001551 0.000482 0.000046
5.900000 0.000004 0.000011 0.000041 0.000033 0.000050 -0.000069 0.000084 0.010924 0.001781 0.007273 -0.001359 0.005188 -0.005941 -0.000991 0.002383 0.000788 0.013288 0.011808 -0.019183 0.007815 0.007770 -0.003868 0.013897 0.001714 0.001385 0.000431 0.000041
6.000000 0.000004 0.000011 0.000036 0.000030 0.000049 -0.000063 0.000083 0.011412 0.001884 0.007475 -0.001414 0.005361 -0.006206 -0.001048 0.002467 0.000820 0.013695 0.010549 -0.017139 0.006982 0.006942 -0.003456 0.012416 0.001531 0.001237 0.000385 0.000037
6.200000 0.000004 0.000011 0.000029 0.000024 0.000046 -0.000052 0.000077 0.012238 0.002061 0.007806 -0.001507 0.005655 -0.006655 -0.001145 0.002611 0.000873 0.014378 0.008435 -0.013705 0.005583 0.005551 -0.002763 0.009928 0.001224 0.000989 0.000308 0.000030
6.400000 0.000004 0.000011 0.000023 0.000019 0.000042 -0.000043 0.000070 0.012893 0.002203 0.008059 -0.001581 0.005888 -0.007011 -0.001224 0.002728 0.000915 0.014911 0.006756 -0.010976 0.004472 0.004446 -0.002213 0.007951 0.000980 0.000792 0.000247 0.000024
6.600000 0.000004 0.000011 0.000019 0.000016 0.000037 -0.000036 0.000063 0.013408 0.002317 0.008251 -0.001638 0.006072 -0.007292 -0.001286 0.002821 0.000947 0.015325 0.005415 -0.008798 0.003584 0.003563 -0.001774 0.006373 0.000786 0.000635 0.000198 0.000019
6.800000 0.000004 0.000011 0.000015 0.000013 0.000033 -0.000029 0.000055 0.013811 0.002407 0.008396 -0.001683 0.006215 -0.007511 -0.001335 0.002895 0.000973 0.015644 0.004341 -0.007053 0.002873 0.002857 -0.001422 0.005109 0.000630 0.000509 0.000159 0.000015
