State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.326085e+04	1.866461e-14	1.054117e+05	3.715139e-14	1.055683e+05	3.744647e-14	1.061214e+05	4.182535e-14	1.071034e+05	2.742641e-14
9.326955e+04	1.861161e-14	1.054204e+05	3.699577e-14	1.055770e+05	3.728697e-14	1.061301e+05	4.163728e-14	1.071121e+05	2.730466e-14
9.327866e+04	1.856924e-14	1.054295e+05	3.688535e-14	1.055862e+05	3.718035e-14	1.061392e+05	4.163209e-14	1.071213e+05	2.718309e-14
9.328820e+04	1.851527e-14	1.054390e+05	3.673231e-14	1.055957e+05	3.702380e-14	1.061487e+05	4.143902e-14	1.071308e+05	2.706494e-14
9.329819e+04	1.846242e-14	1.054490e+05	3.657719e-14	1.056057e+05	3.686381e-14	1.061587e+05	4.124047e-14	1.071408e+05	2.694711e-14
9.330865e+04	1.841110e-14	1.054595e+05	3.641833e-14	1.056161e+05	3.669847e-14	1.061692e+05	4.103516e-14	1.071512e+05	2.682851e-14
9.331960e+04	1.837061e-14	1.054704e+05	3.629451e-14	1.056271e+05	3.657348e-14	1.061801e+05	4.098337e-14	1.071622e+05	2.670682e-14
9.333107e+04	1.832224e-14	1.054819e+05	3.613348e-14	1.056386e+05	3.640438e-14	1.061916e+05	4.077520e-14	1.071737e+05	2.658467e-14
9.334308e+04	1.828075e-14	1.054939e+05	3.600057e-14	1.056506e+05	3.626845e-14	1.062036e+05	4.069612e-14	1.071857e+05	2.645970e-14
9.335566e+04	1.823119e-14	1.055065e+05	3.583901e-14	1.056631e+05	3.609987e-14	1.062162e+05	4.048891e-14	1.071982e+05	2.633736e-14
9.336882e+04	1.818544e-14	1.055197e+05	3.570355e-14	1.056763e+05	3.596151e-14	1.062294e+05	4.039086e-14	1.072114e+05	2.621357e-14
9.338261e+04	1.813271e-14	1.055335e+05	3.554504e-14	1.056901e+05	3.579669e-14	1.062431e+05	4.018270e-14	1.072252e+05	2.609021e-14
9.339705e+04	1.808294e-14	1.055479e+05	3.535072e-14	1.057045e+05	3.565652e-14	1.062576e+05	4.007220e-14	1.072396e+05	2.596432e-14
9.341217e+04	1.802823e-14	1.055630e+05	3.524360e-14	1.057197e+05	3.548933e-14	1.062727e+05	3.985931e-14	1.072548e+05	2.583915e-14
9.342800e+04	1.797768e-14	1.055788e+05	3.514386e-14	1.057355e+05	3.534373e-14	1.062885e+05	3.973782e-14	1.072706e+05	2.571237e-14
9.344458e+04	1.792804e-14	1.055954e+05	3.493478e-14	1.057521e+05	3.519526e-14	1.063051e+05	3.960479e-14	1.072872e+05	2.558502e-14
9.346194e+04	1.787575e-14	1.056128e+05	3.490724e-14	1.057694e+05	3.502677e-14	1.063225e+05	3.939166e-14	1.073045e+05	2.545978e-14
9.348012e+04	1.782650e-14	1.056310e+05	3.469446e-14	1.057876e+05	3.487870e-14	1.063406e+05	3.925417e-14	1.073227e+05	2.533288e-14
9.349915e+04	1.777612e-14	1.056500e+05	3.423895e-14	1.058066e+05	3.472969e-14	1.063597e+05	3.911015e-14	1.073417e+05	2.520503e-14
9.351908e+04	1.772411e-14	1.056699e+05	3.464891e-14	1.058266e+05	3.457827e-14	1.063796e+05	3.896043e-14	1.073617e+05	2.507653e-14
9.353995e+04	1.766864e-14	1.056908e+05	3.447432e-14	1.058474e+05	3.440837e-14	1.064005e+05	3.874669e-14	1.073825e+05	2.494745e-14
