r	<0|H_so|15>	<1|H_so|16>	<1|H_so|17>	<2|H_so|16>	<2|H_so|17>	<3|H_so|16>	<3|H_so|17>	<4|H_so|12>	<4|H_so|18>	<5|H_so|13>	<5|H_so|14>	<5|H_so|19>	<5|H_so|20>	<6|H_so|13>	<6|H_so|14>	<6|H_so|19>	<6|H_so|20>	<7|H_so|13>	<7|H_so|14>	<7|H_so|19>	<7|H_so|20>	<8|H_so|15>	<9|H_so|16>	<9|H_so|17>	<10|H_so|16>	<10|H_so|17>	<11|H_so|16>	<11|H_so|17>
4.7	-311.97	120.45	211.93	-195.05	-103.63	-204.17	212.28	311.97	-311.97	-120.45	-211.93	120.45	211.93	195.05	103.63	-195.05	-103.63	204.17	-212.28	-204.17	212.28	311.97	-120.45	-211.93	195.05	103.63	204.17	-212.28
4.8	-311.98	113.09	217.27	-192.85	-107.67	-210.14	204.97	311.98	-311.98	-113.09	-217.27	113.09	217.27	192.85	107.67	-192.85	-107.67	210.14	-204.97	-210.14	204.97	311.98	-113.09	-217.27	192.85	107.67	210.14	-204.97
4.9	-311.98	105.74	222.21	-190.6	-111.6	-215.72	197.68	311.98	-311.98	-105.74	-222.21	105.74	222.21	190.6	111.6	-190.6	-111.6	215.72	-197.68	-215.72	197.68	311.98	-105.74	-222.21	190.6	111.6	215.72	-197.68
5	-311.99	98.48	226.73	-188.34	-115.38	-220.9	190.46	311.99	-311.99	-98.48	-226.73	98.48	226.73	188.34	115.38	-188.34	-115.38	220.9	-190.46	-220.9	190.46	311.99	-98.48	-226.73	188.34	115.38	220.9	-190.46
5.1	-311.99	91.36	230.82	-186.07	-119	-225.67	183.38	311.99	-311.99	-91.36	-230.82	91.36	230.82	186.07	119	-186.07	-119	225.67	-183.38	-225.67	183.38	311.99	-91.36	-230.82	186.07	119	225.67	-183.38
5.2	-311.99	84.44	234.5	-183.83	-122.44	-230.02	176.49	311.99	-311.99	-84.44	-234.5	84.44	234.5	183.83	122.44	-183.83	-122.44	230.02	-176.49	-230.02	176.49	311.99	-84.44	-234.5	183.83	122.44	230.02	-176.49
5.3	-311.99	77.77	237.79	-181.63	-125.68	-233.96	169.86	311.99	-311.99	-77.77	-237.79	77.77	237.79	181.63	125.68	-181.63	-125.68	233.96	-169.86	-233.96	169.86	311.99	-77.77	-237.79	181.63	125.68	233.96	-169.86
5.4	-312	71.4	240.7	-179.49	-128.72	-237.52	163.51	312	-312	-71.4	-240.7	71.4	240.7	179.49	128.72	-179.49	-128.72	237.52	-163.51	-237.52	163.51	312	-71.4	-240.7	179.49	128.72	237.52	-163.51
5.5	-312	65.35	243.26	-177.43	-131.54	-240.7	157.48	312	-312	-65.35	-243.26	65.35	243.26	177.43	131.54	-177.43	-131.54	240.7	-157.48	-240.7	157.48	312	-65.35	-243.26	177.43	131.54	240.7	-157.48
5.6	-312	59.64	245.51	-175.46	-134.16	-243.55	151.79	312	-312	-59.64	-245.51	59.64	245.51	175.46	134.16	-175.46	-134.16	243.55	-151.79	-243.55	151.79	312	-59.64	-245.51	175.46	134.16	243.55	-151.79
5.7	-312	54.29	247.47	-173.58	-136.58	-246.07	146.45	312	-312	-54.29	-247.47	54.29	247.47	173.58	136.58	-173.58	-136.58	246.07	-146.45	-246.07	146.45	312	-54.29	-247.47	173.58	136.58	246.07	-146.45
5.8	-312	49.3	249.17	-171.81	-138.8	-248.31	141.46	312	-312	-49.3	-249.17	49.3	249.17	171.81	138.8	-171.81	-138.8	248.31	-141.46	-248.31	141.46	312	-49.3	-249.17	171.81	138.8	248.31	-141.46
5.9	-312	44.67	250.65	-170.15	-140.84	-250.28	136.84	312	-312	-44.67	-250.65	44.67	250.65	170.15	140.84	-170.15	-140.84	250.28	-136.84	-250.28	136.84	312	-44.67	-250.65	170.15	140.84	250.28	-136.84
6	-312	40.4	251.93	-168.6	-142.69	-252.03	132.56	312	-312	-40.4	-251.93	40.4	251.93	168.6	142.69	-168.6	-142.69	252.03	-132.56	-252.03	132.56	312	-40.4	-251.93	168.6	142.69	252.03	-132.56
6.2	-312	32.85	253.98	-165.82	-145.91	-254.91	125	312	-312	-32.85	-253.98	32.85	253.98	165.82	145.91	-165.82	-145.91	254.91	-125	-254.91	125	312	-32.85	-253.98	165.82	145.91	254.91	-125
6.4	-312.01	26.54	255.49	-163.46	-148.56	-257.15	118.68	312.01	-312.01	-26.54	-255.49	26.54	255.49	163.46	148.56	-163.46	-148.56	257.15	-118.68	-257.15	118.68	312.01	-26.54	-255.49	163.46	148.56	257.15	-118.68
6.6	-312.01	21.32	256.62	-161.47	-150.71	-258.87	113.44	312.01	-312.01	-21.32	-256.62	21.32	256.62	161.47	150.71	-161.47	-150.71	258.87	-113.44	-258.87	113.44	312.01	-21.32	-256.62	161.47	150.71	258.87	-113.44
6.8	-312.01	17.04	257.45	-159.82	-152.46	-260.21	109.15	312.01	-312.01	-17.04	-257.45	17.04	257.45	159.82	152.46	-159.82	-152.46	260.21	-109.15	-260.21	109.15	312.01	-17.04	-257.45	159.82	152.46	260.21	-109.15
7	-312.01	13.56	258.07	-158.46	-153.87	-261.24	105.65	312.01	-312.01	-13.56	-258.07	13.56	258.07	158.46	153.87	-158.46	-153.87	261.24	-105.65	-261.24	105.65	312.01	-13.56	-258.07	158.46	153.87	261.24	-105.65
7.2	-312.01	10.74	258.52	-157.35	-155.01	-262.04	102.83	312.01	-312.01	-10.74	-258.52	10.74	258.52	157.35	155.01	-157.35	-155.01	262.04	-102.83	-262.04	102.83	312.01	-10.74	-258.52	157.35	155.01	262.04	-102.83
7.4	-312.01	8.48	258.87	-156.45	-155.92	-262.67	100.56	312.01	-312.01	-8.48	-258.87	8.48	258.87	156.45	155.92	-156.45	-155.92	262.67	-100.56	-262.67	100.56	312.01	-8.48	-258.87	156.45	155.92	262.67	-100.56
7.6	-312.01	6.68	259.12	-155.72	-156.65	-263.16	98.74	312.01	-312.01	-6.68	-259.12	6.68	259.12	155.72	156.65	-155.72	-156.65	263.16	-98.74	-263.16	98.74	312.01	-6.68	-259.12	155.72	156.65	263.16	-98.74
7.8	-312.01	5.24	259.32	-155.14	-157.22	-263.54	97.29	312.01	-312.01	-5.24	-259.32	5.24	259.32	155.14	157.22	-155.14	-157.22	263.54	-97.29	-263.54	97.29	312.01	-5.24	-259.32	155.14	157.22	263.54	-97.29
8	-312.01	4.1	259.46	-154.67	-157.68	-263.84	96.14	312.01	-312.01	-4.1	-259.46	4.1	259.46	154.67	157.68	-154.67	-157.68	263.84	-96.14	-263.84	96.14	312.01	-4.1	-259.46	154.67	157.68	263.84	-96.14
8.2	-312.01	3.2	259.57	-154.3	-158.05	-264.07	95.24	312.01	-312.01	-3.2	-259.57	3.2	259.57	154.3	158.05	-154.3	-158.05	264.07	-95.24	-264.07	95.24	312.01	-3.2	-259.57	154.3	158.05	264.07	-95.24
8.4	-312.01	2.49	259.65	-154.01	-158.33	-264.26	94.52	312.01	-312.01	-2.49	-259.65	2.49	259.65	154.01	158.33	-154.01	-158.33	264.26	-94.52	-264.26	94.52	312.01	-2.49	-259.65	154.01	158.33	264.26	-94.52
8.6	-312.01	1.94	259.72	-153.77	-158.56	-264.4	93.96	312.01	-312.01	-1.94	-259.72	1.94	259.72	153.77	158.56	-153.77	-158.56	264.4	-93.96	-264.4	93.96	312.01	-1.94	-259.72	153.77	158.56	264.4	-93.96
8.8	-312.01	1.5	259.76	-153.59	-158.74	-264.51	93.52	312.01	-312.01	-1.5	-259.76	1.5	259.76	153.59	158.74	-153.59	-158.74	264.51	-93.52	-264.51	93.52	312.01	-1.5	-259.76	153.59	158.74	264.51	-93.52
9	-312.01	1.16	259.8	-153.45	-158.88	-264.6	93.18	312.01	-312.01	-1.16	-259.8	1.16	259.8	153.45	158.88	-153.45	-158.88	264.6	-93.18	-264.6	93.18	312.01	-1.16	-259.8	153.45	158.88	264.6	-93.18
9.2	-312.01	0.9	259.83	-153.33	-158.98	-264.67	92.91	312.01	-312.01	-0.9	-259.83	0.9	259.83	153.33	158.98	-153.33	-158.98	264.67	-92.91	-264.67	92.91	312.01	-0.9	-259.83	153.33	158.98	264.67	-92.91
9.4	-312.01	0.69	259.85	-153.24	-159.07	-264.72	92.71	312.01	-312.01	-0.69	-259.85	0.69	259.85	153.24	159.07	-153.24	-159.07	264.72	-92.71	-264.72	92.71	312.01	-0.69	-259.85	153.24	159.07	264.72	-92.71
9.6	-312.01	0.53	259.86	-153.18	-159.14	-264.76	92.54	312.01	-312.01	-0.53	-259.86	0.53	259.86	153.18	159.14	-153.18	-159.14	264.76	-92.54	-264.76	92.54	312.01	-0.53	-259.86	153.18	159.14	264.76	-92.54
9.8	-312.01	0.41	259.88	-153.12	-159.19	-264.79	92.42	312.01	-312.01	-0.41	-259.88	0.41	259.88	153.12	159.19	-153.12	-159.19	264.79	-92.42	-264.79	92.42	312.01	-0.41	-259.88	153.12	159.19	264.79	-92.42
10	-312.01	0.31	259.89	-153.08	-159.23	-264.82	92.32	312.01	-312.01	-0.31	-259.89	0.31	259.89	153.08	159.23	-153.08	-159.23	264.82	-92.32	-264.82	92.32	312.01	-0.31	-259.89	153.08	159.23	264.82	-92.32
10.5	-312.01	0.16	259.9	-153.01	-159.29	-264.86	92.17	312.01	-312.01	-0.16	-259.9	0.16	259.9	153.01	159.29	-153.01	-159.29	264.86	-92.17	-264.86	92.17	312.01	-0.16	-259.9	153.01	159.29	264.86	-92.17
11	-312.01	0.08	259.91	-152.98	-159.33	-264.88	92.09	312.01	-312.01	-0.08	-259.91	0.08	259.91	152.98	159.33	-152.98	-159.33	264.88	-92.09	-264.88	92.09	312.01	-0.08	-259.91	152.98	159.33	264.88	-92.09
